Date,Test Tool Tip,Calories,Total Daily Calories
10/7/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1642.6,1642.6
10/8/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1657.46,1657.46
10/9/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1581.83,1581.83
10/10/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1560.66,1560.66
10/11/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1654.99,1654.99
10/12/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1546.02,1546.02
10/13/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1671.91,1671.91
10/14/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1638.19,1638.19
10/15/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1650.98,1650.98
10/16/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1661.9,1661.9
10/17/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1680.1,1680.1
10/18/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1545.82,1545.82
10/19/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1444.33,1444.33
10/20/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1404.8,1404.8
10/21/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1574.33,1574.33
10/22/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1643.78,1643.78
10/23/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1657.36,1657.36
10/24/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1283.46,1283.46
10/25/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1649.44,1649.44
10/26/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1656.98,1656.98
10/27/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1413.93,1413.93
10/28/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1646.33,1646.33
10/29/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1619.54,1619.54
10/30/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1628.66,1628.66
10/31/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1585.61,1585.61
11/1/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1653.97,1653.97
11/2/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1650.29,1650.29
11/3/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1623.59,1623.59
11/4/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1329,1329
11/5/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1657.77,1657.77
11/6/2016,Warning! 4 out of 5 consecutive observations are 1 standard deviation away from the mean on the same side.,1692.6,1692.6
